"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","Gray Instrumentation II Prospectus","1888","1976","1975","1975","image: 5 x 5 in. (12.7 x 12.7 cm) sheet: 8 1/16 x 8 1/16 in. (20.4 x 20.4 cm)","","Hand printed screen miniature","","Prints","","MetDoesntKnow","","Josef Albers","Gift of Tyler Graphics, Ltd., 1975"
"","","Reynold Keen","1734","1805","1769?","1769?","Sight: 30 x 25 in. (76.2 x 63.5 cm)","","Oil on Canvas","","Paintings","","MetDoesntKnow","","Matthew Pratt","Purchase, Morris K. Jesup Fund, 2008"
"","","A Mother's Pearls","1804","1894","1841","1841","17 1/2 in. (44.5 cm) 28.148.1: 1 3/16 x 1 in. (3 x 2.6 cm) 28.148.2: 1 3/8 x 1 3/16 in. (3.5 x 3 cm) 28.148.3: 1 9/16 x 1 3/8 in. (4 x 3.5 cm) 28.148.4: 1 3/4 x 1 9/16 in. (4.5 x 4 cm) 28.148.5: 1 x 7/8 in. (2.5 x 2.2 cm) 28.148.6: 1 3/4 x 1 9/16 in. (4.5 x 4 cm) 28.148.7: 1 9/16 x 1 3/8 in. (4 x 3.5 cm) 28.148.8: 1 3/8 x 1 3/16 in. (3.5 x 3 cm) 28.148.9: 1 3/16 x 1 1/8 in. (3 x 2.8 cm)","","Watercolor on ivory in eight vermeil lockets with rope-turned bezels, connected by gold-plated brass chains; gold-plated brass floriated repousse clasp","","Paintings","","MetDoesntKnow","","Thomas Seir Cummings","Gift of Mrs. Richard B. Hartshorne and Miss Fanny S. Cummings, 1928"
"","","Green Sphere Balancing Others","1919","2010","1941","1941","15 1/4 x 22 1/4 in. (38.7 x 56.5 cm)","","Watercolor, gouache, ink, and graphite on paper","","Drawings","","American","","Lucia Autorino Salemme","Gift of Lawrence Salemme, 1996"
"","","Self-Portrait","1852","1896","1884?","1887","13 1/4 x 10 1/4 in. (33.7 x 26 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Theodore Robinson","Gift of Margaret and Raymond J. Horowitz, 2007"
"","","Treetops against Sky","1856","1925","1909","1913","10 x 14 in. (25.4 x 35.6 cm)","","Watercolor and gouache on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Untitled","1912","1956","1938?","1941","H. 14-1/4, W. 10 inches (36.2 x 25.4 cm.)","","Gouache, colored pencils, and graphite on paper","","Drawings","","American","","Jackson Pollock","Purchase, Anonymous Gift, 1990"
"","","Mother and Child","1889","1966","1922","1922","40 x 28in. (101.6 x 71.1cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","William Zorach","Anonymous Gift, 1979"
"","","Untitled","1895","1967","n.d.","n.d.","11 1/4 x 8 5/8 in. (28.6 x 21.9 cm)","","Ink, gouache, graphite, and cut and pasted paper on paper","","Drawings","","MetDoesntKnow","","Ben Kutcher","Bequest of Scofield Thayer, 1982"
"","","Path of the Hero","1916","1992","1950","1950","H. 61-3/4, W. 121 inches (156.8 x 307.3 cm.)","","Acrylic on canvas","","Paintings","","American","","Richard Pousette-Dart","Purchase, Mr. and Mrs. Milton Petrie Gift, 1987"
"","","Dutch Girl in White","1865","1929","1907","1907","24 x 20 in. (61 x 50.8 cm)","","Oil on canvas","","Paintings","","American","","Robert Henri","Arthur Hoppock Hearn Fund, 1950"
"","","Julie Hudson","1882","1925","1914","1914","30 x 25 in. (76.2 x 63.5 cm)","","Oil on Masonite","","Paintings","","American","","George Bellows","Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967"
"","","Interior of Studio","1909","1978","1956","1956","24 x 20 1/8 in. (61 x 51.1 cm)","","Oil on canvas","","Paintings","","American","","John Koch","Gift of Ernest Ulmer, 2007"
"","","The Shell House","1903","1975","1950s","1960s","40.0 x 50.2 cm (15 3/4 x 19 3/4 in. )","","Tempera on panel","","Paintings","","American","","Walker Evans","Walker Evans Archive, 1994"
"","","St. Martin de Porres","1951","MetDoesntKnow","1983","1983","H. 72, W. 44 inches (182.9 x 111.8 cm.)","","Oil and wax on canvas","","Paintings","","American","","Hunt Slonem","Kathryn E. Hurd Fund, 1984"
"","","Green Depth","1907","1971","1944","1944","H. 31, W. 42 inches (78.7 x 106.7 cm.)","","Casein on canvas","","Paintings","","American","","Irene Rice Pereira","George A. Hearn Fund, 1944"
"","","Tadasana","1958","MetDoesntKnow","2000","2000","52 x 48 5/8 in. (132.1 x 123.5 cm)","","Oil on honeycomb plywood panel","","Paintings","","American","","John Gibson","Purchase, Richard and Rebecca Evans Foundation Gift, 2001"
"","","Two Figures","1891","1978","1922","1924","H. 36, W. 30 inches (91.4 x 76.2 cm.)","","Oil on canvas, mounted on cardboard","","Paintings","","American","","Edwin Dickinson","Hugo Kastor Fund, 1959"
"","","Mt. Katahdin, Maine, No. 2","1877","1943","1939","1940","30 1/4 x 40 1/4 in. (76.8 x 102.2 cm)","","Oil on canvas","","Paintings","","American","","Marsden Hartley","Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991"
"","","River Scene","1796","1886","1854","1854","24 x 34 1/8 in. (61 x 86.7 cm)","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Bequest of Mary Starr Van Winkle, 1970"
"","","At the Seaside","1849","1916","1892?","1892?","20 x 34 in. (50.8 x 86.4 cm)","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Berlin Street","1893","1959","1931","1931","H. 32, W. 23-5/8 inches (81.3 x 60 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","George Grosz","Hugo Kastor Fund, 1963"
"","","Half Hot","1920","1985","1959","1959","H. 93, W. 82 inches (236.2 x 208.3 cm.)","","Magna on unprimed canvas","","Paintings","","American","","Gene Davis","Gift of the artist, 1973"
"","","Searchlight on Harbor Entrance, Santiago de Cuba","1836","1910","1901","1901","30 1/2 x 50 1/2 in. (77.5 x 128.3 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of George A. Hearn, 1906"
"","","Mother and Child (The Oval Mirror)","1844","1926","1899?","1899?","32 1/8 x 25 7/8 in. (81.6 x 65.7 cm)","","Oil on canvas","","Paintings","","American","","Mary Cassatt","H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929"
"","","Maine Landscape","1907","1975","1955","1955","H. 25-1/2, W. 36-1/2 inches (64.8 x 92.7 cm.)","","Oil on canvas","","Paintings","","American","","Fairfield Porter","Bequest of Arthur M. Bullowa, 1993"
"","","Harvest Scene","1836","1910","1873?","1873?","10 x 24 in. (25.4 x 61 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","George A. Hearn Fund, 1909"
"","","The Greek Lovers","1819","1877","1846","1846","40 1/4 x 51 1/2 in. (102.2 x 130.8 cm)","","Oil on canvas","","Paintings","","American","","Henry Peters Gray","Gift of William Church Osborn, 1902"
"","","American Falls, Niagara","1823","1900","1855?","1855?","9 13/16 x 8 15/16 in. (24.9 x 22.7 cm)","","Graphite and white gouache on dark buff-colored wove paper","","Drawings","","American","","Jasper Francis Cropsey","Sheila and Richard J. Schwartz Fund, 1987"
"","","Miss Bruce","1812","1846","1837","1837","2 5/8 x 2 in (6.7 x 5 cm)","","Watercolor on ivory in maroon leatherette case with ormolu mat","","Paintings","","MetDoesntKnow","","Alfred Thomas Agate","Gift of Gloria Manney, 2006"
"","","Mrs. Andrew Sigourney","1755","1828","Ca.1820","Ca.1820","27 x 22 in. (68.6 x 55.9 cm)","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Gift of Donald F. Bush, in memory of Harriet P. Bush, 1978"
"","","Mannikin in the Snow","1856","1925","1891?","1893","25 x 30 in. (63.5 x 76.2 cm)","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Portrait of a Gentleman","1749","1831","1795?","1795?","2 1/4 x 1 3/4 in. (5.8 x 4.6 cm)","","Watercolor on ivory in gilded copper locket; hair reserve verso","","Paintings","","American","","James Peale","Purchase, Lila Acheson Wallace Gift, 2006"
"","","Study for The Coming of the Americans","1856","1925","1921","1922","22 1/4 x 9 in. (56.5 x 22.9 cm)","","Watercolor, gouache, and graphite on off-white laid paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Seashore, Morning","1823","1894","1866","1866","23 x 41 in. (58.4 x 104.1 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","William Hart","Gift of the sons of William Paton, 1909"
"","","Gloucester Dock","1894","2000","1948","1948","H. 11, W. 15 inches (27.9 x 38.1 cm.)","","Watercolor, gouache and graphite on paper","","Drawings","","American","","Alfred Levitt","Gift of the artist, 1985"
"","","Untitled","1906","1975","1963","1963","H. 32, W. 36 inches (81.3 x 91.4 cm.)","","Oil and charcoal on canvas","","Paintings","","American","","Ludwig Sander","Gift of Mr. and Mrs. Gilbert S. Edelson, 1986"
"","","George William Fairfax","1778","1830","1816","1816","Sight: 2 9/16 x 2 in. (6.5 x 5.1 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Joseph Wood","Rogers Fund, 1945"
"","","The Lost Mind","1836","1923","1864","1865","39 1/8 x 23 1/4 in. (99.4 x 59.1 cm)","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Bequest of Helen L. Bullard, in memory of Laura Curtis Bullard, 1921"
"","","White Canadian Barn II","1887","1986","1932","1932","12 x 30 in. (30.5 x 76.2 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, 1964"
"","","Across the Room","1862","1938","1899?","1899?","25 x 30 1/8 in. (63.5 x 76.5 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Edmund Charles Tarbell","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Mrs. Joseph Cooper (Mary Justice)","1749","1831","1797","1797","2 7/8 x 2 1/4 in. (7.3 x 5.8 cm)","","Watercolor on ivory in gilded copper locket","","Paintings","","American","","James Peale","Gift of Gloria Manney, 2006"
"","","Catskill Clove in Palingsville","1818","1893","1856","1856","19 7/8 x 14 1/16 in. (50.5 x 35.7 cm)","","Watercolor, gouache, and graphite on light green wove paper","","Drawings","","MetDoesntKnow","","William Rickarby Miller","Gift of Mrs. A. M. Miller, 1893"
"","","Portrait of a Russian Nobleman (D. C. Imboden)","1871","1950","1918?","1918?","34 1/8 x 30 1/2 in. (87 x 76.8 cm)","","Oil on canvas","","Paintings","","American","","Albert Herter","Purchase, Gift of V. Everit Macy, by exchange, 1923"
"","","Portrait of the Painter","1835","1910","1859","1859","16 1/16 x 11 1/2 in. (40.8 x 29.2 cm)","","Oil on wood panel","","Paintings","","American","","John La Farge","Samuel D. Lee Fund, 1934"
"","","Moonlightist","1932","2007","1998","1998","28 x 18 in. (71.1 x 45.7 cm)","","Oil on canvas","","Paintings","","American","","R.B. Kitaj","Gift of the artist, in honor of William S. Lieberman, 2004"
"","","Portrait of a Gentleman","1757","1803","null","null","1 5/8 x 1 3/16 in. (4.1 x 3.1 cm)","","Watercolor on ivory in gold case with brightwork bezel","","Paintings","","MetDoesntKnow","","William Verstille","Dale T. Johnson Fund, 2006"
"","","The Conquerors (Culebra Cut, Panama Canal)","1880","1940","1913","1913","H. 60 x W. 50 inches (152.4 x 127 cm.)","","Oil on canvas","","Paintings","","American","","Jonas Lie","George A. Hearn Fund, 1914"
"","","William Edward Wilmerding","1770?","1843","1825?","1825?","2 15/16 x 2 3/8 in. (7.5 x 6 cm)","","Watercolor on ivory in gold locket","","Paintings","","MetDoesntKnow","","Benjamin Trott","Gift of John Wilmerding, 1992"
"","","Study for Goat","1880","1946","1934?","1934?","4 x 6 in. (10.2 x 15.2 cm)","","Watercolor, gouache, and graphite on paperboard","","Drawings","","American","","Arthur Dove","Alfred Stieglitz Collection, 1949"
"","","[Construction Site]","1903","1975","1950s","1960s","61.0 x 50.8 cm (24 x 20 in. )","","Tempera on panel","","Paintings","","American","","Walker Evans","Walker Evans Archive, 1994"
"","","Going Out - Early Morning","1891","1948","1920","1920","H. 12, W. 16-1/2 inches (30.5 x 41.9 cm.)","","Gouache and graphite on paper","","Drawings","","American","","George Ault","Purchase, Samuel I. Newhouse Foundation Inc. Gift, 1983"
"","","Untitled (Barn and Trees)","1906","1956","1934","1934","H. 24-1/4, W. 18-1/4 inches (61.6 x 46.4 cm.)","","Oil on Masonite","","Paintings","","MetDoesntKnow","","O. Louis Guglielmi","Bequest of Andrew J. DiMaggio, 1990"
"","","Taos Valley, New Mexico","1874","1960","1933","1933","H. 25, W. 35 inches (63.5 x 88.9 cm.)","","Oil on canvas","","Paintings","","American","","Ernest Blumenschein","George A. Hearn Fund, 1934"
"","","Sound","1894","1962","1919","1919","H. 35, W. 35-1/8 inches (88.9 x 89.2 cm.)","","Oil on canvas","","Paintings","","American","","e. e. cummings","Bequest of Scofield Thayer, 1982"
"","","Milan Hollow Farm","1928","1987","1977","1977","88 1/4 x 62 in. (224.2 x 157.5 cm) two canvases, each: 44 x 62 in. (111.8 x 157.5 cm)","","Acrylic and silkscreen on canvas","","Paintings","","American","","Andy Warhol","Gift of Stephen Mazoh, 2004"
"","","Maquette for tapestry, Recollection Pond","1911","1988","1976","1976","H. 19-1/4, W. 24-3/8 inches (48.9 x 61.9 cm.)","","Cut and pasted painted and printed papers, watercolor, gouache, ink marker, and graphite on paper","","Drawings","","American","","Romare Bearden","Gift of Gloria F. Ross, 1996"
"","","Composition","1900","1983","1949","1949","H. 18, W. 18 inches (45.7 x 45.7 cm.)","","Oil on canvas","","Paintings","","American","","Charmion von Wiegand","Gift of William Benenson, 1991"
"","","Mobile","1903","1980","1955","1955","H. 16-7/8, W. 30 inches (42.9 x 76.2 cm.)","","Oil on canvas","","Paintings","","American","","Lodewijk Karel Bruckman","Gift of Benjamin A. Javits, 1956"
"","","Old Spanish Woman","1887","1956","1914","1914","H. 38-1/4, W. 36 inches (97.2 x 91.4 cm.)","","Oil on canvas","","Paintings","","American","","Leopold Seyffert","Arthur Hoppock Hearn Fund, 1927"
"","","William Gwynn","1783","1872","1821","1821","23 1/4 x 19 1/2 in. (59.1 x 49.5 cm)","","Oil on canvas","","Paintings","","American","","Thomas Sully","Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894"
"","","Spring Shower (Western Kansas Landscape)","1897","1946","1931","1931","H. 29-7/8, W. 43-7/8 inches (75.9 x 111.4 cm.)","","Oil on canvas","","Paintings","","American","","John Steuart Curry","Arthur Hoppock Hearn Fund, 1932"
"","","Design for window","1848","1933","late19th","early20thcentury","Overall: 24 1/8 x 11 1/8 in. (61.3 x 28.3 cm) Other (Design): 16 1/2 x 4 9/16 in. (41.9 x 11.6 cm)","","Watercolor, graphite, gouache and black ink on paper mounted on board in original double matt","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Design for lampshade","1848","1933","late19th","early20thcentury","Overall: 17 x 11 3/8 in. (43.2 x 28.9 cm) Other (Design): 15 5/8 x 9 1/8 in. (39.7 x 23.2 cm)","","Watercolor, gouache, and graphite on paper","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Mrs. John Biddle (Eliza Falconer Bradish)","1783","1872","1818","1818","30 x 24 7/8 in. (76.2 x 63.2 cm)","","Oil on canvas","","Paintings","","American","","Thomas Sully","Gift of General John Biddle, 1924"
"","","Many Saudi Women Live Recklessly Under Theatrical Clothes","1953","MetDoesntKnow","1981","1981","H. 14, W. 17 inches (35.6 x 43.2 cm.)","","Oil on handmade paper","","Drawings","","American","","Gayil Nalls","Purchase, Dr. Robert E. Carroll Gift, 1983"
"","","Table with Figs and Lemons","1919","1963","1952","1952","H. 27-1/2, W. 36-1/2 inches (69.9 x 92.7 cm.)","","Oil on canvas","","Paintings","","American","","Carlyle Brown","George A. Hearn Fund, 1952"
"","","The Margrave, the Prince[ss] and the Hermit (from Sketchbook)","1834","1903","1854","1855","3 1/4 x 3 5/8 in. (8.3 x 9.2 cm)","","Brown and black ink and pink gouache on dark off-white-tan wove paper","","Drawings","","American","","James McNeill Whistler","Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970"
"","","Portrait of a Lady","1788","1844","null","null","3 x 2 3/8 in. (7.6 x 6 cm)","","Watercolor on ivory in green leatherette case with velvet lining","","Paintings","","American","","Nathaniel Rogers","Gift of Gloria Manney, 2006"
"","","Juliet","1904","1979","1939","1939","H. 20, W. 26 inches (50.8 x 66 cm.)","","Gouache on cardboard","","Drawings","","American","","Fletcher Martin","George A. Hearn Fund, 1940"
"","","Monhegan Theme","1909","1996","1949","1949","H. 24, W. 36 inches (61 x 91.5 cm.)","","Oil on canvas","","Paintings","","American","","Lamar Dodd","George A. Hearn Fund, 1951"
"","","Portrait of a Girl with Flowers","1783","1861","1835?","1835?","40 7/8 x 31 3/4 in. (103.8 x 80.6 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Bequest of Elsa Welles Wray, 1973"
"","","Winter Sunrise, Monadnock","1849","1921","1917","1917","54 3/8 x 63 3/8 in. (138.1 x 161 cm)","","Oil on canvas","","Paintings","","American","","Abbott H. Thayer","George A. Hearn Fund, 1917"
"","","The Shoemaker","1917","2000","1945","1945","H. 22 3/4, W. 31 in. (57.8 x 78.7 cm)","","Watercolor and gouache on paper","","Drawings","","American","","Jacob Lawrence","George A. Hearn Fund, 1946"
"","","Bali, Bazaar with Coconut Palms","1878","1957","1912","1912","H. 38-1/2, W. 28-1/2 inches (97.8 x 72.4 cm.)","","Oil on canvas","","Paintings","","American","","Maurice Sterne","George A. Hearn Fund, 1936"
"","","Sarah Annis Sully","1783","1872","1802?","1802?","1 7/8 x 1 7/8 in. (4.8 x 4.8 cm)","","Watercolor on ivory","","Paintings","","American","","Thomas Sully","Fletcher Fund, 1928"
"","","The Hermit (Il solitario)","1856","1925","1908","1908","37 3/4 x 38 in. (95.9 x 96.5 cm)","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Rogers Fund, 1911"
"","","The Photographer","1917","2000","1942","1942","H. 22 1/8, W. 30 1/2 in. (56.2 x 77.5 cm)","","Watercolor, gouache, and graphite on paper","","Drawings","","American","","Jacob Lawrence","Purchase, Lila Acheson Wallace Gift, 2001"
