"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.101&dim=300px","","11 3/4 x 8 3/4 in. (29.8 x 22.2 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Mylar, painted wood, and Christmas lights","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.74&dim=300px","","96 x 48 x 48 in. (243.8 x 121.9 x 121.9 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Alan Hergott and Curt Shepard"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.236&dim=300px","","71 x 58 in. (180.3 x 147.3 cm)","","Thomas Zipp","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.7&dim=300px","","Paper: 11 3/8 x 8 1/4 in. (28.9 x 21 cm)","","Sigmar Polke","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Gelatin silver print with paint","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.68&dim=300px","","51 1/2 x 36 1/2 in. (130.8 x 92.7 cm)","","Sigmar Polke","The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas in honor of Wonmi Kwon"
"Umwandlung , 1968","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.197&dim=300px","","Lithograph, edition 190/200","","Sigmar Polke","19 5/8 x 27 1/2 in. (49.8 x 69.9 cm)"
"Fuji dye-coupler print, A.P.","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.125&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Larry Sultan","The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.54&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.61&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.53&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.55&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.59&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.56&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.57&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Support/Untitled , 2004","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.54&dim=300px","","Oil on canvas","","Gaylen Gerber","27 5/8 x 27 5/8 x 1 in. (70.2 x 70.2 x 2.5 cm)"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.8&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.5&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.7&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.2&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.4&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.67&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.1&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Cardboard, newspaper, string, masking tape, and paint","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.72&dim=300px","","50 x 46 x 18 in. (127 x 116.8 x 45.7 cm)","","Patrick Nickell","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund and David Richards and Geoff Tuck"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.41&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.62&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.38&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.36&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.61&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.66&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.63&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.64&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.65&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.39&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.17&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Water-soluble colored pencil on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.3&dim=300px","","23 1/2 x 17 1/2 in. (59.7 x 44.5 cm)","","Daniel Oates","The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas"
"Cibachrome print, edition 2/5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.65&dim=300px","","Framed: 21 1/2 x 27 3/4 in. (54.6 x 70.5 cm)","","Gabriel Orozco","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Mixed media (dirt?) on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.109&dim=300px","","11 x 8 in. (27.9 x 20.3 cm)","","Gabriel Orozco","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Cibachrome print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.97&dim=300px","","16 x 20 in. (40.6 x 50.8 cm)","","Gabriel Orozco","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Mixed media","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.69&dim=300px","","30 x 167 3/4 x 167 3/4 in. (76.2 x 426.1 x 426.1 cm)","","Gabriel Orozco","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Acquisition and Collection Committee, 2000"
"Graphite, toothpaste spit, and coffee stains on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.195&dim=300px","","6 1/4 x 6 3/4 in. (15.9 x 17.1 cm)","","Gabriel Orozco","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Dye Coupler Photograph on Fujiflex Super Glossy Color paper, edition 2/20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.56&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Gift of the artist and The Jan Kesner Gallery"
"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 8/20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.46&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 5/15","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.48&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 5/20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.49&dim=300px","","Paper: 24 x 20 in. (61 x 50.8 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 3/15","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.45&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Dye Coupler Photograph on Fujiflex Super Glossy Color paper, edition 3/20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.54&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Gift of the artist and The Jan Kesner Gallery"
"Dye Coupler Photograph on Fujiflex Super Glossy Color paper, edition 4/20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.55&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Gift of the artist and The Jan Kesner Gallery"
"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 4/15","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.47&dim=300px","","Paper: 20 x 24 in. (50.8 x 61 cm)","","Rubén Ortiz Torres","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Color photostat","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.11&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Black and white photostat","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.12&dim=300px","","21 3/4 x 24 in. (55.2 x 61 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Silkscreen on paper, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.6&dim=300px","","32 1/4 x 44 in. (81.9 x 111.8 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.8&dim=300px","","Twelve plates, various dimensions from 24 x 43 in. to 24 x 120 in.","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Silkscreen on paper, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.4&dim=300px","","32 1/8 x 44 in. (81.6 x 111.8 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Two color photostats","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.13A-B&dim=300px","","20 x 24 1/2 in. (50.8 x 62.2 cm)
20 x 24 in. (50.8 x 61 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Silkscreen on paper, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.2&dim=300px","","32 1/4 x 40 in. (81.9 x 101.6 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Silkscreen on aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.81&dim=300px","","77 1/2 x 60 1/2 in. (196.9 x 153.7 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Pipe and fittings","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.1&dim=300px","","Each (6 Pipes): 144 x 2 x 2 in. (365.8 x 5.1 x 5.1 cm)
Each (8 Connectors): 2 in. (5.1 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ink on Mylar","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.15&dim=300px","","67 x 25 in. (170.2 x 63.5 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of The Peter Norton Family Foundation"
"Polyester resin and fiberglass on plywood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.52&dim=300px","","96 x 14 x 1 1/2 in. (243.8 x 35.6 x 3.8 cm)","","John McCracken","The Museum of Contemporary Art, Los Angeles
Gift of Janet and Martin S. Blinder"
"Wood plank","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.21&dim=300px","","108 x 25 x 3 1/4 in. (274.3 x 63.5 x 8.3 cm)","","John McCracken","The Museum of Contemporary Art, Los Angeles
Gift of Jerry Magnin"
"Polyester resin on fiberglass and plywood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.60&dim=300px","","99 1/2 x 15 7/16 x 1 3/8 in. (252.7 x 39.2 x 3.5 cm)","","John McCracken","The Museum of Contemporary Art, Los Angeles
Gift of The Kotler Family Trust"
"Five C-prints, AP","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.23A-E&dim=300px","","Each: 12 x 12 in. (30.5 x 30.5 cm)","","Hellen van Meene","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Pencil, tape, and Liquitex on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.98&dim=300px","","28 1/2 x 24 in. (72.4 x 61 cm)","","Ed Moses","The Museum of Contemporary Art, Los Angeles
Gift from the Collection of Regina and William Fadiman"
"Linen rectangle and Army stretcher splashed with animal blood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.41A-B&dim=300px","","94 x 110 1/2 in. (238.8 x 280.7 cm)","","Hermann Nitsch","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor"
"Five fiberglass spheres, CPJ 200 Projector, videotape, VCR","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.66&dim=300px","","18 in. diameter (each sphere)","","Tony Oursler","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by an anonymous donor"
"Acrylic, silverwash and graphite on Strathmore board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.2&dim=300px","","60 x 40 in. (152.4 x 101.6 cm)","","Ed Moses","The Museum of Contemporary Art, Los Angeles
Gift of Anne Kennedy"
"Ink, charcoal, graphite, and masking tape on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.59A-C&dim=300px","","Other: 40 1/8 x 30 1/4 in. (101.9 x 76.8 cm)","","Ed Moses","The Museum of Contemporary Art, Los Angeles
Gift of Robert Higashi and Kiyo Higashi"
"Powdered pigment and rhoplex on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.86&dim=300px","","80 x 100 in. (203.2 x 254 cm)","","Ed Moses","The Museum of Contemporary Art, Los Angeles
Gift of Rabbi and Mrs. Arthur Schneier"
